x,p1_l4,p2_l2,p3_l1,p3_l2,p4_l1,p4_l2,p5_l1,DNS
27.5017,12.7182,13.2166,13.2607,15.7451,15.1621,16.4677,16.2548,16.6724
27.5078,12.7182,13.2136,13.2591,15.7458,15.1621,16.465,16.2556,16.6714
27.5302,12.7179,13.202,13.2535,15.7483,15.1621,16.4548,16.2587,16.6677
27.5563,12.7171,13.1884,13.2472,15.751,15.1624,16.4425,16.262,16.6633
27.6969,12.7085,13.12,13.2182,15.7625,15.1651,16.3774,16.2771,16.6409
27.6992,12.7083,13.119,13.2177,15.7626,15.1652,16.3765,16.2773,16.6405
27.7487,12.7042,13.0994,13.2087,15.7651,15.166,16.3629,16.2812,16.6336
27.9094,12.6899,13.0447,13.1813,15.7655,15.1627,16.3482,16.2881,16.6155
27.9208,12.6889,13.0411,13.1794,15.7648,15.1618,16.3474,16.2882,16.6143
27.9967,12.6826,13.0171,13.1669,15.7562,15.1521,16.3406,16.2866,16.6073
28.0219,12.6807,13.0092,13.1628,15.7507,15.1473,16.338,16.2848,16.605
28.1523,12.6722,12.9679,13.1414,15.6809,15.1093,16.3216,16.2623,16.5926
28.1682,12.6713,12.9628,13.1388,15.6698,15.1033,16.3194,16.258,16.591
28.268,12.6671,12.9305,13.122,15.6102,15.063,16.3042,16.2246,16.5793
28.2912,12.6665,12.923,13.118,15.5989,15.0535,16.3004,16.2154,16.5762
28.2941,12.6664,12.9221,13.1175,15.5975,15.0523,16.3,16.2142,16.5758
28.3229,12.6657,12.9128,13.1126,15.5843,15.041,16.2951,16.202,16.5717
28.5355,12.6646,12.8465,13.0754,15.4999,14.9658,16.2543,16.095,16.5285
28.6605,12.6651,12.8114,13.053,15.4552,14.9272,16.2251,16.0203,16.4891
28.7697,12.6651,12.7853,13.033,15.4171,14.8956,16.1949,15.9479,16.4452
28.7744,12.6651,12.7844,13.0322,15.4154,14.8942,16.1934,15.9446,16.4431
28.7836,12.6651,12.7825,13.0304,15.4121,14.8914,16.1906,15.9381,16.439
28.8833,12.6639,12.7655,13.0118,15.3734,14.8564,16.1559,15.8643,16.3898
28.9284,12.6628,12.7598,13.0032,15.3553,14.8357,16.1374,15.8284,16.3649
28.9523,12.6621,12.7572,12.9986,15.3466,14.8229,16.1268,15.8088,16.351
28.9736,12.6614,12.7552,12.9945,15.3391,14.8103,16.1168,15.7908,16.3382
29.1791,12.6483,12.7357,12.9512,15.268,14.6947,15.9919,15.604,16.1937
